"NUTS","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
AT111,,,,,,,,,,,,,,,,32587.21,33464.11,33875.24,34185.82,34828.93,41775.51,41673.47,41393.94,41888.89,41760,40960.4,41048.54,41342.86,41169.81,40858.49,41190.48,41127.270000000004,40881.82,41196.43,40964.91,40955.75,41105.26,41215.520000000004,41737.29,41801.65,41737.29,42778.69,42788.62,42796.75,44242.67,44284.55,44093.85,43979.1
AT112,,,,,,,,,,,,,,,,32608.030000000002,33456.44,33860.57,34200.54,34840.39,39682.65,39615.56,40084.86,40053.69,40158.13,39726.270000000004,40105.6,40450.53,40563.94,40546.97,40582.48,40560.55,40308.71,40873.37,40654.61,40257.5,40391.99,40590.83,41306.29,41537.83,41429.520000000004,42156.700000000004,42091.63,42048.51,43468.17,43507.12,43324.51,43213.12
AT113,,,,,,,,,,,,,,,,32599.93,33458.1,33865.28,34196.68,34834.41,41054.79,41055.36,41240.55,41222.22,41265.1,40716.67,41198.020000000004,41433.22,41319.62,41139.68,41200,41332.31,41193.85,41938.46,41765.24,41475.61,41668.69,41770.15,42456.97,42700.88,42788.520000000004,43432.75,43440,43166.67,44609.51,44642.55,44471.32,44337.99
AT12,,,,,,,,,,,,,,,,38670.91,39007.590000000004,39099.28,39921.29,40424.75,43692.53,43332.26,43783.96,44211.67,44463.83,43907.55,44420.68,44742.86,45326.8,45162.75,45576.14,45757.71,45881.07,46065.61,45937.01,45714.38,46086.93,46431.16,46918.82,47332.56,46734.340000000004,47118.65,47056.4,46897.81,48550.96,48592.36,48395.16,48265.58
AT121,,,,,,,,,,,,,,,,38671.23,39004.17,39102.12,39923.47,40424.12,46060,45647.53,46104.14,46475.3,46698.92,45906.08,46350.72,46688.46,47156.91,46894.87,47242.24,47365.85,47155.32,47301.78,47228.67,46764.91,46994.26,47297.97,47614.96,47933.98,47447.89,47929.82,47797.64,47594.62,49279.24,49325.5,49126.1,48998.62
AT122,,,,,,,,,,,,,,,,38673.57,39008.23,39100.5,39921.29,40423.14,42723.3,42373.49,42776.71,43305.49,43607.66,43026.04,43770.22,43959.86,44646.07,44564.07,45019.63,45255.42,45446.21,45756.51,45599.1,45512.3,45840.88,46251.36,46734.04,47171.22,46576.8,46973.6,46974.28,46822.38,48481.35,48523.66,48326.17,48199.76
AT123,,,,,,,,,,,,,,,,38671.67,39008.21,39097.71,39923.82,40420.61,41665.61,41348.1,41804.42,42109.700000000004,42514.29,42028.89,42475.54,42915.66,43476.4,43223.53,43663.72,43985.53,44103.99,44279.66,44050.21,43920.11,44269.28,44561.590000000004,45093.51,45580.44,44879.38,45246.520000000004,45165.020000000004,45062.270000000004,46652.78,46693.17,46503.53,46381.23
AT124,,,,,,,,,,,,,,,,38671.98,39008.28,39098.76,39921.35,40426.3,47520.83,47336.62,47771.950000000004,47991.58,48149.3,47504.21,48050.56,48235.21,48748.65,48530.700000000004,48889.65,49033.74,48975.81,49074.770000000004,49021.19,48529.72,48834.42,49117.270000000004,49406.840000000004,49682.96,49181.12,49562.5,49470.44,49025.93,50759.42,50805.39,50594.61,50457.380000000005
AT125,,,,,,,,,,,,,,,,38672.200000000004,39012.11,39089.46,39916.32,40426.48,49018.25,48391.3,48351.25,48701.44,48708.63,47859.21,48210.71,48370.11,48838.6,48365.85,48538.19,48679.31,48461.020000000004,48593.33,48289.47,47816.99,48051.61,48400,48827.590000000004,49303.130000000005,48760.38,48972.81,48960.96,48702.700000000004,50427.97,50463.44,50266.55,50116.04
AT126,,,,,,,,,,,,,,,,38668.44,39004.17,39102.25,39922.49,40426.16,43742.19,43412.9,43848.72,44440.26,44696.43,44292.62,44834.98,45063.55,45840.43,45772.73,46211.33,46347.93,46696.35,46753.35,46660.42,46517.28,47004.31,47460.15,48066.88,48499.49,47783.89,48204.340000000004,48068.47,48007.71,49709.01,49750.94,49550.43,49415.97
