"NUTS","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
DE25,,,,,,,,,,,,,,,,43588.21,43292.4,43489.68,44309.36,44209.91,45477.37,45840.61,45592.92,45686.25,45531.06,45321.11,45779.66,45672.43,46063.770000000004,45110.98,45943.26,46885.590000000004,47674.76,47355.99,48003.85,48265.93,48915.48,49483.5,49633.130000000005,50151.4,49129.8,49334.94,48144.21,47717.93,48656.23,49605.19,49447.85,50000.6
DE251,,,,,,,,,,,,,,,,43583.64,43288,43490.700000000004,44304.32,44202.16,43818.88,44261.81,43957.05,44069.31,43936.14,43646.8,44054.05,44011.83,44594.43,43715.01,44463.96,45416.03,46219.700000000004,45982.03,46648.15,46870.69,47489.75,48084.31,48315.76,48868.78,47883.13,48043.35,46944.44,46453.36,47359.46,48285.17,48136.28,48665.950000000004
DE252,,,,,,,,,,,,,,,,43589.78,43290,43486.76,44311.42,44211.85,43296.06,43631.32,43478.86,43537.5,43402.46,43213.73,43650.78,43528.81,43796.9,42861.07,43684.33,44437.64,45243.91,45023.57,45672.65,45992.89,46718.57,47344,47560.56,48125.590000000004,47151.340000000004,47343.840000000004,46257.78,45933.44,46837.69,47748.13,47597.38,48130.04
DE253,,,,,,,,,,,,,,,,43590.29,43292.270000000004,43491.86,44308.200000000004,44206.22,45334.67,45735.700000000004,45580.31,45672.270000000004,45621.98,45439.61,46131.79,46094.86,46450.16,45468.43,46512.91,47506.17,48429,48166.700000000004,48754.35,48913.04,49536.48,50028.130000000005,50228.85,50721.14,49680.3,49864.05,48657.07,48219.29,49166.53,50121.340000000004,49961.880000000005,50519.78
DE254,,,,,,,,,,,,,,,,43588.06,43291.79,43489.82,44309.85,44210.01,44073.49,44477.53,44327.89,44386.46,44269.22,44064.62,44473.01,44377.83,44797.62,43943.92,44781.94,45785.06,46604.4,46319.950000000004,46999.89,47304.520000000004,47976.22,48594.62,48767.85,49303.62,48312.74,48543.72,47373.61,46978.57,47902.1,48835.73,48680.340000000004,49224.58
DE255,,,,,,,,,,,,,,,,43574.25,43288.14,43496.58,44305.08,44192.48,45508.200000000004,45980.39,45484.56,45835.23,45853.8,45715.97,46266.9,46208.700000000004,46679.89,45743.94,46500.57,47255.76,47980.35,47795.32,48397.23,48628.36,49412.97,49874.5,50024.46,50569.11,49672.69,49824.22,48765.61,48392.770000000004,49345.97,50317.23,50146.36,50702.5
DE256,,,,,,,,,,,,,,,,43589.47,43295.38,43490.12,44307.81,44208.950000000004,48168.39,48416.03,47995.6,48052.200000000004,47811.8,47535.11,48020.6,47907.97,48325.58,47221.63,48026.42,48967.32,49672.83,49163.91,49764.96,49956.15,50559.33,51077.43,51092.85,51536.94,50419.99,50625.41,49346.16,48887.3,49849.880000000005,50822.450000000004,50662.8,51232.450000000004
DE257,,,,,,,,,,,,,,,,43585.5,43294.88,43483.41,44307.65,44207.46,46429.44,46661.08,46255.24,46356.33,46253.49,45975.39,46342.33,46168.48,46270.6,45325.73,46206.19,47279.840000000004,48001.93,47549.13,48185.03,48351.63,48877.520000000004,49401.880000000005,49510.25,50048.55,49098.450000000004,49411.090000000004,48321.16,47922.200000000004,48867.08,49816.65,49651.83,50209.590000000004
DE258,,,,,,,,,,,,,,,,43588.04,43290.58,43490.8,44315.94,44218.38,48671.25,48847.24,48391.85,49083.74,48873.55,48877.25,49819.54,49803.32,50237.92,49084.8,49904.83,50858.87,51622.090000000004,51148.950000000004,51688.36,52023.04,52604.37,53118.46,53181.090000000004,53696.130000000005,52484.36,52761.66,51468.18,50981.44,51984.950000000004,53011.6,52846.880000000005,53439.450000000004
DE259,,,,,,,,,,,,,,,,43586.9,43295.32,43489.51,44304.15,44212.69,47059.85,47373.74,46916.19,47178.57,46869.46,46575.22,47300.020000000004,47139.65,47554.39,46319.49,47210.82,48229.270000000004,48994.82,48696.340000000004,49376.74,49624.16,50312.08,50833.21,50992.56,51431.24,50346.020000000004,50528.200000000004,49305.24,48819.16,49784.81,50761.89,50597.840000000004,51165.79
DE25A,,,,,,,,,,,,,,,,43595.21,43290.73,43487.5,44316.12,44209.5,49634,49923.92,49212.32,49317.83,48948.96,48764.04,49045.21,48825.92,49187.130000000005,48018.450000000004,48820.26,49655.46,50356.28,49782.840000000004,50375.98,50570.32,51083.33,51537.32,51544.42,51952.79,50783.65,50896.950000000004,49616.380000000005,49132.770000000004,50090.87,51073.340000000004,50914.79,51476.93
DE25B,,,,,,,,,,,,,,,,43587.63,43299.12,43492.26,44313.4,44215.78,47961.17,48404.41,47981.63,48191.67,47919.43,47740.28,48291.56,48170.73,48537.43,47365.9,48129.090000000004,49125.36,49865.130000000005,49606.14,50364.29,50543.24,51159.64,51622.31,51667.01,52132.23,51026.83,51173.05,49776.51,49300.6,50271.9,51249.76,51087.67,51656.36
DE25C,,,,,,,,,,,,,,,,43593.54,43291.11,43491.94,44308.18,44211.63,47279.91,47700.11,47249.520000000004,47741.66,47556.83,47378.44,47869.43,47734.76,48173.08,47128.770000000004,47807.38,48769.44,49512.78,49050.25,49681.21,49907.12,50496.86,51000,51136.25,51734.19,50712.14,50847.97,49590.31,49051.75,50017.28,50996.3,50836.200000000004,51409.97
DE26,,,,,,,,,,,,,,,,39193.16,39249.66,39739.81,40193.11,40533.08,41474.81,41562.5,41474.72,41768.8,41787.78,41654.340000000004,41921.89,41974.61,41305.48,40192.26,41136.4,42022.9,42455.71,42340.08,42799.42,43342.57,43703.72,44400.26,44796.32,45405.450000000004,44416.98,44843.69,43818.98,43713.98,44573.62,45443.36,45299.51,45806.21
DE261,,,,,,,,,,,,,,,,39197.94,39247.770000000004,39739.78,40194.340000000004,40531.12,40115.56,40309.69,40368.55,40774.25,40719.93,40427.270000000004,40628.38,40666.92,40047.450000000004,38961.8,39894.08,40810.91,41252.17,41304.12,41928.83,42497.26,42866.68,43604.32,44049.78,44696.38,43783.21,44223.25,43225.24,43126.42,43976.58,44838.43,44696.05,45188.73
DE262,,,,,,,,,,,,,,,,39190.19,39252.700000000004,39742.01,40194.37,40533.49,39065.05,39158.21,39139.11,39355.07,39242.16,39081.65,39379.37,39446.9,38812.25,37817.5,38737.200000000004,39608.01,40018.090000000004,39968.950000000004,40437.47,41032.9,41448.71,42153.520000000004,42586.340000000004,43294.96,42382.66,42846.91,41913.36,41822.92,42650.91,43480.31,43341.71,43829.99
DE263,,,,,,,,,,,,,,,,39192.72,39249.32,39742.03,40192.450000000004,40533.46,39807.17,39877.44,39962.96,40201.24,40245.9,40114.31,40397.520000000004,40505.15,39869.33,38759.26,39708.76,40631.14,41033.93,40909.93,41397.19,41946.1,42312.67,43024.11,43438.76,44035.770000000004,43081.05,43500.21,42545.47,42532.01,43370.18,44216.21,44072.24,44564.43
DE264,,,,,,,,,,,,,,,,39195.36,39252.05,39737.93,40194.24,40532.18,42080.78,42128.5,42024.21,42602.39,42704.85,42594.9,42921.07,43037.39,42317.21,41104.770000000004,42156.96,43080.07,43601.17,43426.74,43933.03,44583.13,44971.38,45633.520000000004,45961.48,46534,45442.06,45850.270000000004,44776.12,44607.840000000004,45484.33,46376.56,46227.98,46747.71
DE265,,,,,,,,,,,,,,,,39190.700000000004,39250.31,39739.42,40193.19,40534.35,41585.520000000004,41658.26,41663.82,41756.81,41929.6,41774.05,42069.86,42014.69,41489.05,40573.23,41443.87,42352.56,42853.44,42817.05,43304.270000000004,43756.13,44112.11,44820.1,45159.17,45720.4,44743.64,45221.18,44193.950000000004,44123.58,44982.55,45858.46,45712.82,46228.8
DE266,,,,,,,,,,,,,,,,39189.340000000004,39256.13,39743.3,40194.97,40536.57,41892.590000000004,41846.9,41770.21,41959.24,42010.020000000004,41898.44,42280.29,42418.36,41639.950000000004,40529.46,41403.21,42164.61,42548.06,42387.46,42880.450000000004,43425.9,43783.5,44493.32,44824.340000000004,45399.950000000004,44454.520000000004,44878.97,43887.92,43805.840000000004,44664.18,45535.67,45396.63,45909.88
DE267,,,,,,,,,,,,,,,,39194.49,39253.69,39720.28,40198.75,40538.590000000004,42356.94,42341.450000000004,42029.99,42475.5,42552.63,42522.41,42873.08,42928.42,42301.99,41153.85,42121.39,42967.55,43454.49,43206.94,43578.55,44051.62,44344.12,45064.25,45411.05,46005.950000000004,45085.81,45500.41,44437.4,44397.64,45274.36,46156.64,46008.37,46515.32
DE268,,,,,,,,,,,,,,,,39192.39,39243.72,39744.770000000004,40188.15,40525.3,43494.18,43870.14,43547.32,43728.14,43713.4,43586.93,43694.51,43581.04,42923.9,41708.16,42592.69,43447.46,43916.450000000004,43658.6,44015.17,44455.3,44864.39,45490.29,45905.08,46379.99,45337.21,45737.22,44588.840000000004,44406.86,45282.89,46170.73,46020.340000000004,46531.24
DE269,,,,,,,,,,,,,,,,39192.11,39247.590000000004,39736.450000000004,40191.12,40536.090000000004,41812.07,41878.17,41689.090000000004,42300.770000000004,42431.56,42419.35,42729.04,42740.16,42090.85,40898.72,41949.36,42811.5,43172.91,42943.340000000004,43407.69,43951.44,44274.97,44977.03,45350.61,46013.67,45056.55,45463.47,44437.28,44328.49,45204.65,46086.8,45937.67,46449.66
DE26A,,,,,,,,,,,,,,,,39195.1,39247.75,39736.9,40190.090000000004,40531.01,41772.1,41817.12,41582.340000000004,41873.53,41840.31,41745.94,41944.82,41973.49,41307.56,40191.450000000004,41151.89,41945.840000000004,42399.19,42403.85,42756.270000000004,43277.21,43695.08,44392.67,44825.63,45435.67,44392.25,44830.450000000004,43805.6,43703.450000000004,44560.92,45424.11,45279.11,45793.43
DE26B,,,,,,,,,,,,,,,,39193.25,39245.21,39744.26,40191.53,40525.75,44303.99,44355.69,44098.78,44374.76,44284.11,44107.93,44348.62,44378.78,43468.270000000004,42260.58,43162.13,43966.83,44351.61,44160.03,44488.96,45000,45220.07,45960.24,46320.53,46888.96,45778.91,46206.17,45133.43,44951.05,45830.87,46723.78,46601.83,47123.93
DE26C,,,,,,,,,,,,,,,,39194.29,39248.58,39743.01,40192.64,40532.020000000004,44133.72,44119.3,43679.61,43877.32,43805.25,43607.19,43771.22,43894.18,43051.31,41940.36,42980.71,43963.83,44365.31,44303.82,44760.82,45278.92,45562.54,46211.58,46669.29,47273.96,46152.08,46606.8,45512.4,45256.99,46142.4,47041.22,46893.770000000004,47415.18
DE27,,,,,,,,,,,,,,,,40607.020000000004,40321.590000000004,40294.5,40816.64,41308.26,42268.020000000004,42468.51,42336.61,42439.840000000004,42222.5,42101.51,42556.48,42384.26,41991.33,41172.92,41934.24,42657.3,43098.54,43405.81,43782.5,44167.01,44390.56,45115.89,45466.73,45991.42,44841.01,45138.04,44233.200000000004,43945.090000000004,44809.19,45683.11,45538.63,46048.51
DE271,,,,,,,,,,,,,,,,40607.28,40321.08,40294.83,40817.590000000004,41307.21,39752.950000000004,40012.22,40011.05,40004.28,39843.98,39734.91,40243.520000000004,40130.93,39820.25,39168.86,39965.11,40734.3,41227.63,41536.91,41967.6,42427.66,42728.69,43550.26,43976.58,44552.24,43490.48,43827.46,43030.71,42848.29,43692.07,44542.82,44401.76,44899.53
DE272,,,,,,,,,,,,,,,,40612.86,40330.05,40291.68,40809.17,41312.96,40884.58,41253.28,41199.3,41357.53,41072.24,41000.450000000004,41406.04,41336.28,40963.43,40193.26,40940.97,41787.31,42181.020000000004,42714.48,43172.950000000004,43520.94,43692.1,44398.450000000004,44783.700000000004,45323.05,44257.71,44578.51,43712.06,43439.8,44277.55,45146.82,45006.1,45507.72
DE273,,,,,,,,,,,,,,,,40601.94,40319.15,40297.29,40812.38,41301.39,40566.23,40789.74,40712.3,40817.200000000004,40572.72,40526.05,40876.73,40771.4,40398.01,39692.270000000004,40299.14,40946.82,41472.700000000004,41812.39,42246.19,42664.04,42923.81,43933.94,44406.74,44937.3,43813.99,44154.24,43370.91,43148.340000000004,43994.53,44850.78,44700.340000000004,45207.200000000004
DE274,,,,,,,,,,,,,,,,40605.950000000004,40321.200000000004,40301.72,40817.83,41303.3,40142.63,40481.18,40450.78,40634.49,40354.71,40172.41,40494.47,40260.92,39914,39184.24,39984.57,40615.700000000004,41091.12,41423.14,41805.03,42168.78,42440.39,43204.85,43611.79,44207.1,43160.92,43510.11,42715.81,42522.72,43357.12,44201.87,44064.55,44547.94
DE275,,,,,,,,,,,,,,,,40603.47,40315.97,40291.6,40821.58,41302.590000000004,43407.58,43740.8,43358.16,43634.63,43493.4,43550.9,44062.12,43949.4,43445.3,42674.39,43376.590000000004,44165.93,44661.36,45616.53,46045.21,46321.4,46454.91,47114.93,47432.17,47959.01,46738.86,46974.840000000004,45952.58,45549.66,46442.37,47347.15,47192.63,47724.05
DE276,,,,,,,,,,,,,,,,40608.75,40321.44,40292.950000000004,40814.64,41307.56,42863,43077.86,42727.86,43003.020000000004,42643.85,42499.01,42969.86,42929.37,42819.71,41905.68,42763.75,43512.840000000004,43843.24,44142.49,44551,44896.43,45075.37,45749.340000000004,46043.15,46602.97,45357.39,45640.31,44754.6,44435.4,45310.14,46192.32,46046.98,46563.46
DE277,,,,,,,,,,,,,,,,40611.18,40320.79,40296.01,40818.5,41310.73,42538.44,42748.520000000004,42594.76,42782.46,42495.67,42332.28,42856.33,42655.16,42309.17,41402.700000000004,42217.73,42951.340000000004,43385.62,43557.94,43877.96,44325.42,44513.65,45186.62,45539.71,46057.98,44824.44,45074.73,44212.11,43984.19,44849.4,45728.18,45587.62,46091.770000000004
DE278,,,,,,,,,,,,,,,,40607.58,40320.16,40293,40816.94,41306.23,41916.65,42059.33,42038.82,42063.67,41845.3,41663.15,42194.05,42049.36,41696.8,40870.75,41653.46,42350.14,42811.25,43025.73,43476.26,43923.3,44128.38,44834.04,45162.06,45689.6,44505.67,44808.73,43873.93,43598.51,44457.67,45321.14,45177.17,45676.64
DE279,,,,,,,,,,,,,,,,40602.87,40319.57,40291.05,40820.33,41304.48,41050.92,41264.71,41283.8,41422,41241.37,41173.57,41665.9,41498.18,41002.89,40154.4,40942.4,41668.05,42161.98,42557.98,43003.66,43400.58,43700.51,44436.58,44826.99,45433.66,44367.36,44722.08,43866.520000000004,43580.63,44439.56,45309.64,45164.43,45668.41
DE27A,,,,,,,,,,,,,,,,40614.450000000004,40318.37,40303.89,40816.33,41307.07,43815.79,44017.07,43798.090000000004,44120.51,43871.700000000004,43805.8,44336.92,44125.36,43438.840000000004,42543.83,43333.33,43991.71,44382.93,44473.98,44773.48,45122.020000000004,45302.23,45972.04,46366.85,46911.54,45803,46073.54,45100.48,44728.82,45605.38,46497.39,46355.51,46873.3
DE27B,,,,,,,,,,,,,,,,40604.22,40323.04,40291.81,40818.15,41313.01,46303.53,46202.4,45887.81,46101.8,46092.88,45945.200000000004,46318.01,45928.53,45438.1,44383.32,45122.53,45762.840000000004,45980.36,46010.700000000004,46280.04,46599.57,46764.81,47436.83,47659.79,48039.5,46706.25,46911,45762.950000000004,45324.1,46212.4,47110.87,46965.9,47498.090000000004
DE27C,,,,,,,,,,,,,,,,40610.41,40334.1,40294.12,40815.12,41320.19,45375.71,45467.090000000004,45207.840000000004,45473.6,45208.08,45026.98,45364.65,44997.99,44371.520000000004,43388.770000000004,44023.96,44670.35,45085.74,45294.65,45567.340000000004,45916.16,45950.270000000004,46532.1,46737.46,47124.53,45894.67,46122.450000000004,45058.79,44678.47,45555.72,46449.24,46303.840000000004,46822.24
DE27D,,,,,,,,,,,,,,,,40603.770000000004,40323.18,40299.61,40814.29,41308.01,42145.700000000004,42294.44,42004.62,42003.37,41717.19,41558.75,41880.450000000004,41722.36,41180.82,40298.270000000004,41002.01,41720.61,42191.950000000004,42612.450000000004,42986.31,43387.68,43662.57,44402.87,44732.63,45219.28,44105.72,44415.74,43518.13,43239.33,44088.93,44950.200000000004,44806.47,45311.55
DE27E,,,,,,,,,,,,,,,,40608.03,40318.55,40293.54,40815.38,41307.73,45660.41,45800.3,45574.37,45741.72,45472.48,45234.270000000004,45828.200000000004,45493.6,45217.15,44252.270000000004,45077.15,45891.700000000004,46312.04,46463.16,46551.61,46789.26,46889.36,47295.35,47481.07,47879.450000000004,46666.67,46924.76,45903.29,45528.86,46437.99,47341.74,47193.9,47720.73
DE3,,,,,,,,,,,,,,,,44924.75,45313.74,44519.78,44132.4,43560.66,43780.41,43733.75,43634.88,43591.28,43187.05,42931.54,42668.17,42053.43,42401.71,42109.87,42868.44,43743.73,43641.54,43385.770000000004,43903.65,44769.97,45421.28,46372.68,47271.67,48374.98,48730.17,49831.1,48868.700000000004,48696.92,49654.44,50622.81,50462.340000000004,51026.49
DE30,,,,,,,,,,,,,,,,44924.75,45313.74,44519.78,44132.4,43560.66,43780.41,43733.75,43634.88,43591.28,43187.05,42931.54,42668.17,42053.43,42401.71,42109.87,42868.44,43743.73,43641.54,43385.770000000004,43903.65,44769.97,45421.28,46372.68,47271.67,48374.98,48730.17,49831.1,48868.700000000004,48696.92,49654.44,50622.81,50462.340000000004,51026.49
DE300,,,,,,,,,,,,,,,,44924.75,45313.74,44519.78,44132.4,43560.66,43780.41,43733.75,43634.88,43591.28,43187.05,42931.54,42668.17,42053.43,42401.71,42109.87,42868.44,43743.73,43641.54,43385.770000000004,43903.65,44769.97,45421.28,46372.68,47271.67,48374.98,48730.17,49831.1,48868.700000000004,48696.92,49654.44,50622.81,50462.340000000004,51026.49
DE4,,,,,,,,,,,,,,,,34019.91,34569.58,34705.65,34163.340000000004,33850.6,33548.35,33858.69,33916.36,33856.54,33582.17,33776.05,33961.03,33795.41,34243.66,34027.61,34605.14,35340.32,35461.1,35741.12,36234.57,37161.72,37647.19,38315.090000000004,38842.54,39554.43,39779.38,39947.97,39257.76,39388.65,40163.05,40946.270000000004,40816.270000000004,41272.47
DE40,,,,,,,,,,,,,,,,34019.91,34569.58,34705.65,34163.340000000004,33850.6,33548.35,33858.69,33916.36,33856.54,33582.17,33776.05,33961.03,33795.41,34243.66,34027.61,34605.14,35340.32,35461.1,35741.12,36234.57,37161.72,37647.19,38315.090000000004,38842.54,39554.43,39779.38,39947.97,39257.76,39388.65,40163.05,40946.270000000004,40816.270000000004,41272.47
DE401,,,,,,,,,,,,,,,,34018.19,34564.55,34708.770000000004,34161.03,33851.37,33064.42,33200.97,33142.590000000004,32926.03,32709.77,32821.23,32998.48,32815.1,33277.88,33029.6,33617.76,34412.37,34500,34695.86,35184.75,36047.99,36502.58,37154.38,37697.5,38407.25,38688.62,38932.36,38191.81,38324.65,39073.520000000004,39836.16,39711.33,40157.74
DE402,,,,,,,,,,,,,,,,34021.97,34571.56,34704.54,34165.64,33854.2,32352.68,32544.66,32587.100000000002,32474,32328.18,32429.280000000002,32653.47,32590.16,33075.11,32956.66,33522.75,34275.92,34470.97,34765.71,35311.14,36148.33,36579.89,37238.75,37758.62,38505.770000000004,38829.14,39030.06,38373.98,38519.57,39279.79,40045.86,39919.090000000004,40365.43
DE403,,,,,,,,,,,,,,,,34017.05,34570.92,34704.55,34161.33,33848.31,32549.62,32737.24,32737.510000000002,32674.83,32439.72,32441.77,32545.36,32453.33,32864.22,32578.39,33107.3,33762.090000000004,33945.1,34375.18,34874.39,35821.6,36317.020000000004,37003.76,37385.49,38058.06,38299.83,38550.1,38022.48,38166.48,38919.3,39678.06,39553.98,39974.48
DE404,,,,,,,,,,,,,,,,34018.03,34569.33,34705.66,34162.74,33849.88,32315.54,32559.260000000002,32652.47,32573.23,32392.670000000002,32383.600000000002,32713.33,32612.24,33018.47,32761.88,33314.65,33983.07,34057.4,34416.91,34951.020000000004,35809.24,36315.270000000004,37064.87,37617.78,38281.53,38513.81,38768.92,38118.78,38255.19,39007.840000000004,39765.13,39640.520000000004,40083.41
DE405,,,,,,,,,,,,,,,,34023.22,34572.74,34706.88,34162.14,33851.71,33940.97,34260.020000000004,34382.51,34263.35,33916.13,34145.89,34458.75,34417.88,34993.56,34854.39,35539.8,36269.06,36393.8,36698.33,37217.73,38166.22,38620.87,39255.37,39782.200000000004,40492.35,40677.08,40764.8,39985.41,40088.3,40876.94,41670.93,41536.99,42001.590000000004
DE406,,,,,,,,,,,,,,,,34023.5,34570.21,34707.54,34164.79,33848.67,33690.69,34063.18,34298.2,34241.74,33990.62,34016.06,34198.82,33958.08,34375.64,34182.64,34689.770000000004,35430.72,35560.16,35860.86,36305.06,37221.01,37633.9,38313.88,38886.15,39679.91,39847.24,39892.32,39278.43,39436.15,40213.93,40999.73,40869.85,41323.55
DE407,,,,,,,,,,,,,,,,34020.32,34567.05,34703.05,34161.75,33852.01,33952.020000000004,34482.76,34347.090000000004,34234.61,33959.01,34214.12,34537.840000000004,34313.06,34744.19,34563.11,35112.97,35798.43,35953.67,36180.04,36661.47,37622.03,38141.96,38817.01,39328.89,40045.950000000004,40260.65,40388.9,39712.21,39841.31,40622.41,41417.47,41286.82,41749.68
DE408,,,,,,,,,,,,,,,,34022.47,34567.61,34707.4,34165.53,33850.51,34008.62,34426.78,34506.340000000004,34459.49,34293.36,34563.43,34824.93,34521.44,34691.88,34344.06,34796.57,35492.54,35623.67,35854.91,36332.08,37667.61,38189.5,38835.73,39347.36,40051.68,40297.91,40460.08,39804.92,40093.04,40873.26,41667.950000000004,41536.090000000004,41997.31
DE409,,,,,,,,,,,,,,,,34018.83,34569.79,34700.67,34163.82,33851.22,33817.57,34197.98,34322.55,34272.17,34175.090000000004,34463.72,34688.56,34564.41,35043.66,34848.69,35432.65,36466.89,36700.29,36938.450000000004,37495.56,38444.44,38946.37,39662.06,40152.61,40812.74,40971.99,41102.36,40346.82,40511.05,41306.29,42109.46,41971.36,42440.81
DE40A,,,,,,,,,,,,,,,,34017.35,34567.840000000004,34707.93,34167.24,33854.05,33962.26,34402.88,34582.62,34552.21,34337.99,34701.1,34894.47,34566.19,35117.61,34922.95,35503.26,36265.41,36401.520000000004,36652.13,37187.840000000004,38072.51,38540.33,39173.32,39644.590000000004,40403.65,40590.71,40670.38,39936.49,40096.87,40887.53,41682.75,41547.82,42013.57
DE40B,,,,,,,,,,,,,,,,34021.3,34570.68,34707.71,34163.67,33849.93,33508.81,33769.76,33669.020000000004,33612.96,33320.770000000004,33542.770000000004,33767.520000000004,33603.99,33971.520000000004,33659.83,34211.74,34929.45,35013.49,35284.66,35752.29,36736.91,37236.87,37914.07,38557.56,39203.94,39457.75,39630.89,38936.41,39073.35,39841.85,40623,40497.94,40946.62
DE40C,,,,,,,,,,,,,,,,34019.66,34567.88,34705.22,34164.020000000004,33847.58,33798.45,34073.1,34123.43,34167.9,33809.6,34018.32,34116.2,33981.9,34462.38,34214.29,34756.92,35474.74,35647.31,35933.340000000004,36375.450000000004,37246,37744.85,38401.83,38907.9,39640.42,39870.41,40055.86,39168.54,38981.1,39748.35,40523.53,40397.33,40856.56
DE40D,,,,,,,,,,,,,,,,34017.86,34573.770000000004,34707.840000000004,34167.06,33850.42,34069.71,34229.21,34267.090000000004,34114,33891.41,34225.61,34254.83,34037.92,34491.76,34234.23,34747.4,35524.07,35561.63,35847.08,36409.74,37355.89,37880.6,38491.35,39025.28,39792.53,39995.08,40117.3,39463.76,39646.19,40428.61,41218.8,41091.04,41555.340000000004
DE40E,,,,,,,,,,,,,,,,34017.5,34569.090000000004,34706.87,34161.06,33854.56,34205.82,34684.66,34838.12,34960.3,34426.590000000004,34640.15,34857.33,34720.51,35220.62,35031.41,35773.450000000004,36469.69,36603.770000000004,36712.49,36941.63,37743.82,38243.840000000004,38924.58,39457.89,40158.47,40322.66,40535.3,39878.82,40065.79,40853.83,41650.91,41520.67,41985.69
DE40F,,,,,,,,,,,,,,,,34023.020000000004,34572.61,34704.44,34159.48,33844.73,34019.58,34393.08,34400.13,34279.18,33903.25,34258,34248.32,34124.29,34431.12,34279.26,35004.840000000004,35752.18,35798.37,36111.66,36615.03,37673.42,38168.87,38842.73,39348.47,39947.56,40084.22,40223.14,39558.26,39737.44,40510.5,41310.950000000004,41175.14,41633.44
DE40G,,,,,,,,,,,,,,,,34020.38,34570.36,34702.87,34159.24,33848.89,33910.94,34172.79,34180.71,34246.8,33714.43,34005.520000000004,34058.22,33983.16,34511.56,34259.66,34904.55,35625.61,35732,36002.42,36508.79,37549.14,38012.020000000004,38681.78,39273.37,39995.03,40303.950000000004,40521.21,39884.29,40056.38,40853.35,41649.22,41519.86,41985.76
DE40H,,,,,,,,,,,,,,,,34020.58,34568.05,34705.53,34164.56,33849.48,33925.56,34199.3,34174.58,34036.56,33804.53,33963.57,34039.4,33705.54,34222.67,34040.16,34598.95,35283.8,35332.05,35576.590000000004,36090.32,36936.41,37419.4,38024.85,38456.81,39211.81,39528.5,39699.58,39001.05,39166.340000000004,39941.11,40720.54,40592.07,41044.54
DE40I,,,,,,,,,,,,,,,,34022.38,34568.17,34703.85,34164.4,33850.99,33530.08,33874.7,33839.4,33837.76,33545.97,33846.33,33846.51,33647.24,34133.95,33899.74,34473.51,35141.68,35200.87,35438.83,35969.78,36893.64,37404.21,38078.26,38703.06,39410.74,39618.17,39807.1,39171.03,39278.85,40045.74,40822.63,40687.93,41148.68
DE5,,,,,,,,,,,,,,,,44900.49,43317.35,43431.75,43042.69,42756.14,43043.56,43338.61,42943.23,43737.89,43439.87,43810.99,44355.61,43835.79,44568.99,44090.9,44724.31,45452.16,45677.21,46311.700000000004,46476.38,46832.1,47490.49,48147.85,47991.28,48168.85,47052.090000000004,47029.38,46183.72,45843.18,46744.65,47656.12,47505.22,48036.14
DE50,,,,,,,,,,,,,,,,44900.49,43317.35,43431.75,43042.69,42756.14,43043.56,43338.61,42943.23,43737.89,43439.87,43810.99,44355.61,43835.79,44568.99,44090.9,44724.31,45452.16,45677.21,46311.700000000004,46476.38,46832.1,47490.49,48147.85,47991.28,48168.85,47052.090000000004,47029.38,46183.72,45843.18,46744.65,47656.12,47505.22,48036.14
DE501,,,,,,,,,,,,,,,,44900.51,43317.55,43431.49,43042.53,42756.56,43018.16,43294.29,42906.79,43698.19,43405.17,43793.07,44380.63,43842.37,44578.270000000004,44070.94,44691.03,45398.11,45610.19,46228.5,46400.66,46774.64,47443.83,48102.16,47950.74,48115.21,47002.83,46992.22,46144.23,45801.68,46703.21,47614.8,47463.81,47995.33
DE502,,,,,,,,,,,,,,,,44900.37,43316.29,43435.03,43043.56,42755.67,43171.75,43575.47,43147.04,43969.93,43636.87,43912.72,44220.090000000004,43801.98,44521.270000000004,44199.340000000004,44910.51,45774.65,46074.78,46823.57,46933.24,47169.74,47762.12,48414.950000000004,48230.47,48496.53,47355.79,47256.700000000004,46421.35,46100.17,47002.93,47913.66,47763.29,48290.51
DE6,,,,,,,,,,,,,,,,48631.89,49629.79,49732.91,49529.32,49540.11,50205.89,50547.75,50462.04,50568.47,50217.94,50392.340000000004,50899.39,50507.450000000004,51083.68,50761.35,50978.35,51614.96,52304.91,52809.4,53194.71,53773.28,54266.700000000004,54568.83,55113.86,55880.62,54850.700000000004,55387.16,54304.29,53917.39,54977.380000000005,56049.380000000005,55871.92,56496.61
DE60,,,,,,,,,,,,,,,,48631.89,49629.79,49732.91,49529.32,49540.11,50205.89,50547.75,50462.04,50568.47,50217.94,50392.340000000004,50899.39,50507.450000000004,51083.68,50761.35,50978.35,51614.96,52304.91,52809.4,53194.71,53773.28,54266.700000000004,54568.83,55113.86,55880.62,54850.700000000004,55387.16,54304.29,53917.39,54977.380000000005,56049.380000000005,55871.92,56496.61
